"kind_of_business","industry","total_sales"
"Motor vehicle and parts dealers","Automotive","14531121"
"Automobile and other motor vehicle dealers","Automotive","13310756"
"Automobile dealers","Automotive","12389347"
"New car dealers","Automotive","10980583"
"Food and beverage stores","Food & Beverage","9451004"
"General merchandise stores","General Merchandise","9038491"
"Food services and drinking places","Restaurants & Bars","8635492"
"Nonstore retailers","Miscellaneous","8511856"
"Grocery stores","Food & Beverage","8463197"
"Supermarkets and other grocery (except convenience) stores","Food & Beverage","8092220"
"Restaurants and other eating places","Restaurants & Bars","7541873"
"Electronic shopping and mail-order houses","Home Goods & Electronics","7351761"
"Other general merchandise stores","General Merchandise","7031707"
"Gasoline stations","Fuel & Gasoline","6811521"
"Warehouse clubs and superstores","Food & Beverage","6077939"
"Building mat. and garden equip. and supplies dealers","Home Goods & Building Supplies","4586452"
"Health and personal care stores","Health & Personal Care","4149035"
"Building mat. and supplies dealers","Home Goods & Building Supplies","3989273"
"Limited service eating places","Restaurants & Bars","3806516"
"Pharmacies and drug stores","Health & Personal Care","3467545"
"Clothing and clothing access. stores","Fashion & Accessories","3302936"
"Full service restaurants","Restaurants & Bars","2677456"
"Furniture, home furn, electronics, and appliance stores","Home Goods & Electronics","2674826"
"Clothing stores","Fashion & Accessories","2376400"
"Department stores","General Merchandise","2006784"
"Miscellaneous store retailers","Miscellaneous","1647290"
"Furniture and home furnishings stores","Home Goods & Electronics","1434266"
"Used car dealers","Automotive","1408764"
"Discount dept. stores","General Merchandise","1366680"
"Family clothing stores","Fashion & Accessories","1306038"
"Electronics and appliance stores","Home Goods & Electronics","1240560"
"Automotive parts, acc., and tire stores","Automotive","1220364"
"Sporting goods, hobby, musical instrument, and book stores","Sports & Recreation","1123028"
"Electronics stores","Home Goods & Electronics","1012994"
"All other gen. merchandise stores","General Merchandise","953768"
"Furniture stores","Home Goods & Electronics","775943"
"Beer, wine, and liquor stores","Food & Beverage","694311"
"Department stores(excl. discount department stores)","General Merchandise","640104"
"Sporting goods stores","Sports & Recreation","623857"
"Home furnishings stores","Home Goods & Electronics","514352"
"Women's clothing stores","Fashion & Accessories","507517"
"Fuel dealers","Fuel & Gasoline","468391"
"Shoe stores","Fashion & Accessories","447285"
"Office supplies, stationery, and gift stores","Office Supplies & Gifts","405487"
"Hardware stores","Home Goods & Building Supplies","349109"
"Jewelry stores","Fashion & Accessories","340640"
"All other home furnishings stores","Home Goods & Electronics","291211"
"Hobby, toy, and game stores","Sports & Recreation","236644"
"Household appliance stores","Home Goods & Electronics","227566"
"Gift, novelty, and souvenir stores","Office Supplies & Gifts","226192"
"Used merchandise stores","Miscellaneous","217891"
"Other clothing stores","Fashion & Accessories","203083"
"Drinking places","Restaurants & Bars","180267"
"Office supplies and stationery stores","Office Supplies & Gifts","179295"
"Paint and wallpaper stores","Home Goods & Building Supplies","148565"
"Book stores","Sports & Recreation","137757"
"Floor covering stores","Home Goods & Electronics","123189"
"Men's clothing stores","Fashion & Accessories","94227"
