"industry","year","month","sales"
"Automotive",2010,1,5304
"Automotive",2010,1,5127
"Automotive",2010,1,37035
"Automotive",2010,1,42162
"Automotive",2010,1,44566
"Automotive",2010,1,49870
"Automotive",2010,2,6300
"Automotive",2010,2,51822
"Automotive",2010,2,46213
"Automotive",2010,2,43455
"Automotive",2010,2,37155
"Automotive",2010,2,5609
"Automotive",2010,3,56506
"Automotive",2010,3,67448
"Automotive",2010,3,6642
"Automotive",2010,3,6580
"Automotive",2010,3,49926
"Automotive",2010,3,60806
"Automotive",2010,4,6601
"Automotive",2010,4,64368
"Automotive",2010,4,57767
"Automotive",2010,4,53010
"Automotive",2010,4,47053
"Automotive",2010,4,5957
"Automotive",2010,5,48346
"Automotive",2010,5,54203
"Automotive",2010,5,58792
"Automotive",2010,5,65243
"Automotive",2010,5,6451
"Automotive",2010,5,5857
"Automotive",2010,6,6195
"Automotive",2010,6,64700
"Automotive",2010,6,57777
"Automotive",2010,6,53074
"Automotive",2010,6,46879
"Automotive",2010,6,6923
"Automotive",2010,7,6812
"Automotive",2010,7,67006
"Automotive",2010,7,60194
"Automotive",2010,7,55880
"Automotive",2010,7,49697
"Automotive",2010,7,6183
"Automotive",2010,8,55146
"Automotive",2010,8,6288
"Automotive",2010,8,7047
"Automotive",2010,8,48858
"Automotive",2010,8,66074
"Automotive",2010,8,59027
"Automotive",2010,9,54920
"Automotive",2010,9,51581
"Automotive",2010,9,6734
"Automotive",2010,9,5971
"Automotive",2010,9,45610
"Automotive",2010,9,61654
"Automotive",2010,10,6797
"Automotive",2010,10,6123
"Automotive",2010,10,45366
"Automotive",2010,10,51489
"Automotive",2010,10,54589
"Automotive",2010,10,61386
"Automotive",2010,11,5604
"Automotive",2010,11,6505
"Automotive",2010,11,58830
"Automotive",2010,11,52325
"Automotive",2010,11,49417
"Automotive",2010,11,43813
"Automotive",2010,12,6514
"Automotive",2010,12,5522
"Automotive",2010,12,49735
"Automotive",2010,12,55257
"Automotive",2010,12,57998
"Automotive",2010,12,64512
"Automotive",2011,1,5723
"Automotive",2011,1,57881
"Automotive",2011,1,52158
"Automotive",2011,1,49715
"Automotive",2011,1,43739
"Automotive",2011,1,5976
"Automotive",2011,2,46318
"Automotive",2011,2,7295
"Automotive",2011,2,53613
"Automotive",2011,2,6044
"Automotive",2011,2,62575
"Automotive",2011,2,56531
"Automotive",2011,3,75168
"Automotive",2011,3,7221
"Automotive",2011,3,55952
"Automotive",2011,3,63613
"Automotive",2011,3,67947
"Automotive",2011,3,7661
"Automotive",2011,4,62778
"Automotive",2011,4,58223
"Automotive",2011,4,69542
"Automotive",2011,4,6446
"Automotive",2011,4,51777
"Automotive",2011,4,6764
"Automotive",2011,5,51278
"Automotive",2011,5,69277
"Automotive",2011,5,62333
"Automotive",2011,5,57538
"Automotive",2011,5,6260
"Automotive",2011,5,6944
"Automotive",2011,6,51281
"Automotive",2011,6,57741
"Automotive",2011,6,62666
"Automotive",2011,6,70201
"Automotive",2011,6,7535
"Automotive",2011,6,6460
"Automotive",2011,7,57556
"Automotive",2011,7,7086
"Automotive",2011,7,6348
"Automotive",2011,7,51208
"Automotive",2011,7,62092
"Automotive",2011,7,69178
"Automotive",2011,8,71295
"Automotive",2011,8,6438
"Automotive",2011,8,52919
"Automotive",2011,8,59357
"Automotive",2011,8,7739
"Automotive",2011,8,63556
"Automotive",2011,9,7248
"Automotive",2011,9,59708
"Automotive",2011,9,5951
"Automotive",2011,9,50292
"Automotive",2011,9,66956
"Automotive",2011,9,56243
"Automotive",2011,10,58769
"Automotive",2011,10,7144
"Automotive",2011,10,5710
"Automotive",2011,10,49873
"Automotive",2011,10,55583
"Automotive",2011,10,65913
"Automotive",2011,11,54192
"Automotive",2011,11,57102
"Automotive",2011,11,6866
"Automotive",2011,11,5530
"Automotive",2011,11,48662
"Automotive",2011,11,63968
"Automotive",2011,12,70984
"Automotive",2011,12,6650
"Automotive",2011,12,5642
"Automotive",2011,12,55489
"Automotive",2011,12,61131
"Automotive",2011,12,64334
"Automotive",2012,1,52985
"Automotive",2012,1,5889
"Automotive",2012,1,6323
"Automotive",2012,1,47096
"Automotive",2012,1,62268
"Automotive",2012,1,55945
"Automotive",2012,2,6707
"Automotive",2012,2,7728
"Automotive",2012,2,52611
"Automotive",2012,2,60339
"Automotive",2012,2,63622
"Automotive",2012,2,70329
"Automotive",2012,3,7757
"Automotive",2012,3,7343
"Automotive",2012,3,61036
"Automotive",2012,3,68793
"Automotive",2012,3,73814
"Automotive",2012,3,81157
"Automotive",2012,4,6899
"Automotive",2012,4,73491
"Automotive",2012,4,66592
"Automotive",2012,4,61753
"Automotive",2012,4,54942
"Automotive",2012,4,6811
"Automotive",2012,5,60389
"Automotive",2012,5,72489
"Automotive",2012,5,79796
"Automotive",2012,5,6667
"Automotive",2012,5,7307
"Automotive",2012,5,67056
"Automotive",2012,6,7296
"Automotive",2012,6,75954
"Automotive",2012,6,68658
"Automotive",2012,6,63327
"Automotive",2012,6,56669
"Automotive",2012,6,6658
"Automotive",2012,7,6411
"Automotive",2012,7,7234
"Automotive",2012,7,75239
"Automotive",2012,7,68005
"Automotive",2012,7,63359
"Automotive",2012,7,56948
"Automotive",2012,8,7237
"Automotive",2012,8,7554
"Automotive",2012,8,80728
"Automotive",2012,8,73174
"Automotive",2012,8,68421
"Automotive",2012,8,61184
"Automotive",2012,9,60834
"Automotive",2012,9,6383
"Automotive",2012,9,54451
"Automotive",2012,9,6850
"Automotive",2012,9,71318
"Automotive",2012,9,64468
"Automotive",2012,10,6450
"Automotive",2012,10,72301
"Automotive",2012,10,64855
"Automotive",2012,10,61304
"Automotive",2012,10,54854
"Automotive",2012,10,7446
"Automotive",2012,11,62875
"Automotive",2012,11,6167
"Automotive",2012,11,53618
"Automotive",2012,11,59785
"Automotive",2012,11,6819
"Automotive",2012,11,69694
"Automotive",2012,12,67862
"Automotive",2012,12,74219
"Automotive",2012,12,6357
"Automotive",2012,12,6070
"Automotive",2012,12,58752
"Automotive",2012,12,64822
"Automotive",2013,1,69384
"Automotive",2013,1,53205
"Automotive",2013,1,6776
"Automotive",2013,1,6385
"Automotive",2013,1,59981
"Automotive",2013,1,62999
"Automotive",2013,2,63191
"Automotive",2013,2,6500
"Automotive",2013,2,8422
"Automotive",2013,2,54769
"Automotive",2013,2,73122
"Automotive",2013,2,66622
"Automotive",2013,3,83767
"Automotive",2013,3,7131
"Automotive",2013,3,8287
"Automotive",2013,3,63410
"Automotive",2013,3,71697
"Automotive",2013,3,76636
"Automotive",2013,4,74542
"Automotive",2013,4,81658
"Automotive",2013,4,7116
