"naics_code","industry","total_sales"
"44,114,412","Automotive","13310756"
"441","Automotive","14531121"
"4411","Automotive","12389347"
"44111","Automotive","10980583"
"44112","Automotive","1408764"
"4413","Automotive","1220364"
"442","Home Goods & Electronics","1434266"
"442,443","Home Goods & Electronics","2674826"
"4421","Home Goods & Electronics","775943"
"4422","Home Goods & Electronics","514352"
"44221","Home Goods & Electronics","123189"
"442299","Home Goods & Electronics","291211"
"443","Home Goods & Electronics","1240560"
"443141","Home Goods & Electronics","227566"
"443142","Home Goods & Electronics","1012994"
"444","Home Goods & Building Supplies","4586452"
"4441","Home Goods & Building Supplies","3989273"
"44412","Home Goods & Building Supplies","148565"
"44413","Home Goods & Building Supplies","349109"
"445","Food & Beverage","9451004"
"4451","Food & Beverage","8463197"
"44511","Food & Beverage","8092220"
"4453","Food & Beverage","694311"
"446","Health & Personal Care","4149035"
"44611","Health & Personal Care","3467545"
"447","Fuel & Gasoline","6811521"
"448","Fashion & Accessories","3302936"
"4481","Fashion & Accessories","2376400"
"44811","Fashion & Accessories","94227"
"44812","Fashion & Accessories","507517"
"44814","Fashion & Accessories","1306038"
"44819","Fashion & Accessories","203083"
"4482","Fashion & Accessories","447285"
"44831","Fashion & Accessories","340640"
"451","Sports & Recreation","1123028"
"45111","Sports & Recreation","623857"
"45112","Sports & Recreation","236644"
"451211","Sports & Recreation","137757"
"452","General Merchandise","9038491"
"4521","General Merchandise","2006784"
"452111","General Merchandise","640104"
"452112","General Merchandise","1366680"
"4529","General Merchandise","7031707"
"45291","Food & Beverage","6077939"
"45299","General Merchandise","953768"
"453","Miscellaneous","1647290"
"4532","Office Supplies & Gifts","405487"
"45321","Office Supplies & Gifts","179295"
"45322","Office Supplies & Gifts","226192"
"45330","Miscellaneous","217891"
"454","Miscellaneous","8511856"
"4541","Home Goods & Electronics","7351761"
"45431","Fuel & Gasoline","468391"
"722","Restaurants & Bars","8635492"
"7224","Restaurants & Bars","180267"
"7225","Restaurants & Bars","7541873"
"722511","Restaurants & Bars","2677456"
"722513, 722514, 722515","Restaurants & Bars","3806516"
