"kind_of_business","average_sale"
"Warehouse clubs and superstores","38961.147435897436"
"Automobile dealers","79418.891025641026"
"Other general merchandise stores","45075.044871794872"
"Building mat. and supplies dealers","25572.262820512821"
"Furniture, home furn, electronics, and appliance stores","17146.320512820513"
"Electronic shopping and mail-order houses","47126.673076923077"
"Food and beverage stores","60583.358974358974"
"Restaurants and other eating places","48345.339743589744"
"Full service restaurants","22127.735537190083"
"New car dealers","70388.352564102564"
"Food services and drinking places","55355.717948717949"
"Department stores","12864.000000000000"
"Automobile and other motor vehicle dealers","85325.358974358974"
"General merchandise stores","57939.044871794872"
"Pharmacies and drug stores","22227.852564102564"
"Supermarkets and other grocery (except convenience) stores","51873.205128205128"
"Grocery stores","54251.262820512821"
"Gasoline stations","43663.596153846154"
"Miscellaneous store retailers","10559.551282051282"
"Health and personal care stores","26596.378205128205"
"Limited service eating places","24400.743589743590"
"Nonstore retailers","54563.179487179487"
"Clothing stores","15233.333333333333"
"Clothing and clothing access. stores","21172.666666666667"
"Motor vehicle and parts dealers","93148.211538461538"
"Building mat. and garden equip. and supplies dealers","29400.333333333333"
