"industry","year","month","total_sales"
"Automotive",2010,1,"184064"
"Automotive",2010,2,"190554"
"Automotive",2010,3,"247908"
"Automotive",2010,4,"234756"
"Automotive",2010,5,"238892"
"Automotive",2010,6,"235548"
"Automotive",2010,7,"245772"
"Automotive",2010,8,"242440"
"Automotive",2010,9,"226470"
"Automotive",2010,10,"225750"
"Automotive",2010,11,"216494"
"Automotive",2010,12,"239538"
"Fashion & Accessories",2010,1,"35016"
"Fashion & Accessories",2010,2,"38931"
"Fashion & Accessories",2010,3,"46320"
"Fashion & Accessories",2010,4,"45585"
"Fashion & Accessories",2010,5,"47113"
"Fashion & Accessories",2010,6,"43041"
"Fashion & Accessories",2010,7,"44800"
"Fashion & Accessories",2010,8,"47356"
"Fashion & Accessories",2010,9,"43169"
"Fashion & Accessories",2010,10,"46381"
"Fashion & Accessories",2010,11,"53311"
"Fashion & Accessories",2010,12,"74868"
"Food & Beverage",2010,1,"162291"
"Food & Beverage",2010,2,"153910"
"Food & Beverage",2010,3,"166165"
"Food & Beverage",2010,4,"162300"
"Food & Beverage",2010,5,"171658"
"Food & Beverage",2010,6,"164906"
"Food & Beverage",2010,7,"171101"
"Food & Beverage",2010,8,"167173"
"Food & Beverage",2010,9,"162361"
"Food & Beverage",2010,10,"167578"
"Food & Beverage",2010,11,"170449"
"Food & Beverage",2010,12,"188788"
"Fuel & Gasoline",2010,1,"38888"
"Fuel & Gasoline",2010,2,"36035"
"Fuel & Gasoline",2010,3,"40554"
"Fuel & Gasoline",2010,4,"40755"
"Fuel & Gasoline",2010,5,"41242"
"Fuel & Gasoline",2010,6,"40228"
"Fuel & Gasoline",2010,7,"40932"
"Fuel & Gasoline",2010,8,"40523"
"Fuel & Gasoline",2010,9,"39406"
"Fuel & Gasoline",2010,10,"41139"
"Fuel & Gasoline",2010,11,"40296"
"Fuel & Gasoline",2010,12,"43875"
"General Merchandise",2010,1,"103388"
"General Merchandise",2010,2,"106010"
"General Merchandise",2010,3,"116074"
"General Merchandise",2010,4,"113897"
"General Merchandise",2010,5,"120151"
"General Merchandise",2010,6,"115033"
"General Merchandise",2010,7,"115293"
"General Merchandise",2010,8,"117362"
"General Merchandise",2010,9,"108862"
"General Merchandise",2010,10,"116737"
"General Merchandise",2010,11,"134299"
"General Merchandise",2010,12,"176172"
"Health & Personal Care",2010,1,"38595"
"Health & Personal Care",2010,2,"37289"
"Health & Personal Care",2010,3,"41688"
