,month,year,naics_Code,kind_of_business,industry,sales
0,1,2022,441.0,Motor vehicle and parts dealers,Automotive,113547.0
1,1,2022,"4411,4412",Automobile and other motor vehicle dealers,Automotive,104500.0
2,1,2022,4411.0,Automobile dealers,Automotive,96689.0
3,1,2022,44111.0,New car dealers,Automotive,84442.0
4,1,2022,44112.0,Used car dealers,Automotive,12247.0
5,1,2022,4413.0,"Automotive parts, acc., and tire stores",Automotive,9047.0
6,1,2022,"442,443","Furniture, home furn, electronics, and appliance stores",Home Goods & Electronics,17141.0
7,1,2022,442.0,Furniture and home furnishings stores,Home Goods & Electronics,10423.0
8,1,2022,4421.0,Furniture stores,Home Goods & Electronics,5549.0
9,1,2022,4422.0,Home furnishings stores,Home Goods & Electronics,
10,1,2022,44221.0,Floor covering stores,Home Goods & Electronics,
11,1,2022,442299.0,All other home furnishings stores,Home Goods & Electronics,
12,1,2022,443.0,Electronics and appliance stores,Home Goods & Electronics,6718.0
13,1,2022,443141.0,Household appliance stores,Home Goods & Electronics,1547.0
14,1,2022,443142.0,Electronics stores,Home Goods & Electronics,5171.0
15,1,2022,444.0,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,33771.0
16,1,2022,4441.0,Building mat. and supplies dealers,Home Goods & Building Supplies,29770.0
17,1,2022,44412.0,Paint and wallpaper stores,Home Goods & Building Supplies,1051.0
18,1,2022,44413.0,Hardware stores,Home Goods & Building Supplies,2728.0
19,1,2022,445.0,Food and beverage stores,Food & Beverage,74984.0
20,1,2022,4451.0,Grocery stores,Food & Beverage,68099.0
21,1,2022,44511.0,Supermarkets and other grocery (except convenience) stores,Food & Beverage,65318.0
22,1,2022,4453.0,"Beer, wine, and liquor stores",Food & Beverage,4939.0
23,1,2022,446.0,Health and personal care stores,Health & Personal Care,32224.0
24,1,2022,44611.0,Pharmacies and drug stores,Health & Personal Care,27297.0
25,1,2022,447.0,Gasoline stations,Fuel & Gasoline,49098.0
26,1,2022,448.0,Clothing and clothing access. stores,Fashion & Accessories,18113.0
27,1,2022,4481.0,Clothing stores,Fashion & Accessories,12368.0
28,1,2022,44811.0,Men's clothing stores,Fashion & Accessories,
29,1,2022,44812.0,Women's clothing stores,Fashion & Accessories,2422.0
30,1,2022,44814.0,Family clothing stores,Fashion & Accessories,6734.0
31,1,2022,44819.0,Other clothing stores,Fashion & Accessories,1277.0
32,1,2022,4482.0,Shoe stores,Fashion & Accessories,2218.0
33,1,2022,44831.0,Jewelry stores,Fashion & Accessories,
34,1,2022,451.0,"Sporting goods, hobby, musical instrument, and book stores",Sports & Recreation,7270.0
35,1,2022,45111.0,Sporting goods stores,Sports & Recreation,4071.0
36,1,2022,45112.0,"Hobby, toy, and game stores",Sports & Recreation,1626.0
37,1,2022,451211.0,Book stores,Sports & Recreation,860.0
38,1,2022,452.0,General merchandise stores,General Merchandise,60884.0
39,1,2022,4521.0,Department stores,General Merchandise,8799.0
40,1,2022,452111.0,Department stores(excl. discount department stores),General Merchandise,1702.0
41,1,2022,452112.0,Discount dept. stores,General Merchandise,7097.0
42,1,2022,4529.0,Other general merchandise stores,General Merchandise,52085.0
43,1,2022,45291.0,Warehouse clubs and superstores,Food & Beverage,45340.0
44,1,2022,45299.0,All other gen. merchandise stores,General Merchandise,6745.0
