,month,year,naics_Code,kind_of_business,industry,sales
0,1,2022,441,Motor vehicle and parts dealers,Automotive,113548
1,1,2022,"44,114,412",Automobile and other motor vehicle dealers,Automotive,104500
2,1,2022,4411,Automobile dealers,Automotive,96689
3,1,2022,44111,New car dealers,Automotive,84442
4,1,2022,44112,Used car dealers,Automotive,12247
5,1,2022,4413,"Automotive parts, acc., and tire stores",Automotive,9047
6,1,2022,"442,443","Furniture, home furn, electronics, and appliance stores",Home Goods & Electronics,17141
7,1,2022,442,Furniture and home furnishings stores,Home Goods & Electronics,10423
8,1,2022,4421,Furniture stores,Home Goods & Electronics,5549
9,1,2022,4422,Home furnishings stores,Home Goods & Electronics,
10,1,2022,44221,Floor covering stores,Home Goods & Electronics,
11,1,2022,442299,All other home furnishings stores,Home Goods & Electronics,
12,1,2022,443,Electronics and appliance stores,Home Goods & Electronics,6718
13,1,2022,443141,Household appliance stores,Home Goods & Electronics,1547
14,1,2022,443142,Electronics stores,Home Goods & Electronics,5171
15,1,2022,444,Building mat. and garden equip. and supplies dealers,Home Goods & Building Supplies,33771
16,1,2022,4441,Building mat. and supplies dealers,Home Goods & Building Supplies,29770
17,1,2022,44412,Paint and wallpaper stores,Home Goods & Building Supplies,1051
18,1,2022,44413,Hardware stores,Home Goods & Building Supplies,2728
19,1,2022,445,Food and beverage stores,Food & Beverage,74984
20,1,2022,4451,Grocery stores,Food & Beverage,68099
21,1,2022,44511,Supermarkets and other grocery (except convenience) stores,Food & Beverage,65318
22,1,2022,4453,"Beer, wine, and liquor stores",Food & Beverage,4939
23,1,2022,446,Health and personal care stores,Health & Personal Care,32224
24,1,2022,44611,Pharmacies and drug stores,Health & Personal Care,27297
25,1,2022,447,Gasoline stations,Fuel & Gasoline,49098
26,1,2022,448,Clothing and clothing access. stores,Fashion & Accessories,18113
27,1,2022,4481,Clothing stores,Fashion & Accessories,12368
28,1,2022,44811,Men's clothing stores,Fashion & Accessories,
29,1,2022,44812,Women's clothing stores,Fashion & Accessories,2422
30,1,2022,44814,Family clothing stores,Fashion & Accessories,6734
